"GEOID","NAME","STATE","YEAR","TOTAL_POP","MEDIAN_AGE","WHITE_POP","BLACK_POP","ASIAN_POP","HISPANIC_POP","MEDIAN_INCOME","POVERTY_RATE","NO_HEALTH_INSURANCE","MEDIAN_HOME_VALUE","MEDIAN_RENT","BACHELORS_DEGREE"
"01069","Houston","AL",2021,951497,36.8148713884875,214477,201347,31478,128010,64636,11.05248977663,14.3864078074694,646540,2609,42.6045585563406
"01023","Choctaw","AL",2021,85493,34.3626848235726,196894,209492,223747,345571,96082,28.350159660913,5.45270745176822,933669,901,13.3333518542349
"01005","Barbour","AL",2021,739568,38.2615496451035,491906,52188,281876,90024,86868,26.6426143830176,21.715374905616,544118,1750,41.0334573616274
"01107","Pickens","AL",2021,485771,36.226181620732,76778,68916,259406,349737,67044,26.1636795429513,12.933626845479,359458,1746,23.9590794569813
"01033","Colbert","AL",2021,959954,31.7580528138205,420216,377315,128081,314549,88749,6.72915941802785,24.277627361007,583410,2153,50.1754561928101
"04012","La Paz","AZ",2021,495688,49.3477384420112,870014,244776,158845,54557,80245,24.9778212117963,18.2861549779773,786630,828,54.9007072718814
"04001","Apache","AZ",2021,23594,41.0916289454326,597013,114737,93418,109148,39295,10.8023314166348,11.2591273826547,112282,1026,57.3050319356844
"05081","Little River","AR",2021,366233,33.9769903523847,837891,453579,10651,3630,67547,6.8322057207115,25.0380019680597,339952,1276,41.7332583013922
"05121","Randolph","AR",2021,175641,37.4964212859049,247596,20899,126698,341914,91457,12.2339911072049,8.30237087560818,544582,1797,38.9016888476908
"06037","Los Angeles","CA",2021,416569,38.6012746393681,679675,479832,85318,105592,36740,26.7975035950076,4.35482759959996,981912,1978,28.8173475093208
"06097","Sonoma","CA",2021,560000,49.3763592420146,89264,313836,153832,100326,78567,26.7602753196843,5.2153140376322,520715,2853,57.7983184391633
"06001","Alameda","CA",2021,976153,49.4108778843656,811164,375639,196415,211470,32970,16.2013929581735,13.301918967627,391469,2415,56.6755707166158
"06045","Mendocino","CA",2021,978039,36.6942196618766,788918,213418,85045,363905,41567,11.4753776881844,15.8511497802101,397027,1082,58.038683750201
"06015","Del Norte","CA",2021,424895,32.9737893259153,413883,151618,113508,144698,59732,11.919504434336,6.54741347534582,855571,1743,57.2883916459978
"08077","Mesa","CO",2021,48513,49.941644789651,875655,42958,299123,185883,90768,12.6605849899352,4.86839725635946,954294,2885,28.7782422057353
"08083","Montezuma","CO",2021,984777,39.8747390508652,8244,405591,68823,361103,42505,17.593623122666,0.450244043022394,767572,2926,28.6667317291722
"08067","La Plata","CO",2021,727085,39.1963566606864,658999,349114,189562,285699,50883,23.2276060048025,27.3809025599621,494342,2658,29.9439357384108
"06055","Napa","CA",2021,438877,30.5580396996811,25078,213589,11352,358540,83219,29.6959768584929,2.66861095558852,141464,1413,52.8859405452386
"10005","Sussex","DE",2021,542703,48.5377972153947,113934,296791,271231,255160,46558,12.9656360379886,22.4712683376856,460454,2054,49.9160152650438
"12086","Miami-Dade","FL",2021,746189,32.5926473923028,747527,226984,134649,195710,60056,19.0429510152899,13.2493042876013,975487,535,46.0504415468313
"12071","Lee","FL",2021,802937,36.1250458005816,136074,497572,26430,120751,67258,17.7708436630201,6.73940582899377,430043,1160,50.0708453846164
"12037","Franklin","FL",2021,837311,42.0753039093688,44648,443330,104372,198629,79518,17.6615378307179,10.0993277924135,817612,1121,29.0080775413662
"12033","Escambia","FL",2021,957448,30.667483638972,771101,185138,67593,234343,62094,12.4807629745919,19.4894596980885,256317,517,50.7281813095324
"17031","Cook","IL",2021,334703,44.7634027851745,662847,160981,100389,386670,64554,23.7450822500978,6.30070156417787,394136,1240,20.2739161811769
"17017","Cass","IL",2021,107748,43.9996010763571,309524,53745,232756,109832,99713,6.20043843053281,1.29639805527404,216622,1471,15.3364563267678
"17109","McDonough","IL",2021,793043,30.7885196525604,849526,6994,104671,296819,31740,7.70237923250534,8.61605169950053,994717,2474,29.2095580277964
"13245","Richmond","GA",2021,197360,40.9043150162324,851968,169042,242879,167277,43361,27.6751156151295,9.42771756090224,980209,1609,41.2703107483685
"17041","Douglas","IL",2021,508666,47.6915275771171,762602,231139,193634,96727,64389,23.9412688137963,7.92185856029391,835791,1818,47.9304331960157
"13103","Effingham","GA",2021,587023,37.6507081789896,310635,63881,7873,307276,81950,25.4549086687621,13.6814676574431,170687,1598,34.3223215104081
"16027","Canyon","ID",2021,632655,33.9671145286411,770881,8855,190710,218800,54175,26.2596357101575,17.905248280149,852586,2441,28.1704748189077
"26103","Marquette","MI",2021,111669,47.6631311373785,557926,260266,254158,127541,83237,20.7249695039354,10.2300385432318,464918,2722,54.713418034371
"18061","Harrison","IN",2021,674292,33.1915434962139,830443,307946,223580,192961,77406,24.696887221653,2.55124184768647,455046,1405,45.992451000493
"19177","Van Buren","IA",2021,306174,35.9265764476731,875696,159789,123392,143881,87459,6.14645645371638,12.480445986148,929715,1792,27.0601687161252
"19045","Clinton","IA",2021,777865,48.3970565302297,657148,159981,183947,20913,94913,16.3817064382602,21.3817256852053,649876,1868,14.9348163767718
"19163","Scott","IA",2021,856249,42.1252663759515,330672,399874,97760,84620,88787,19.0670180669986,0.60707384487614,538839,2018,47.3995959991589
