"GEOID","NAME","STATE","YEAR","TOTAL_POP","MEDIAN_AGE","WHITE_POP","BLACK_POP","ASIAN_POP","HISPANIC_POP","MEDIAN_INCOME","POVERTY_RATE","TWO_OR_MORE_RACES","NATIVE_AMERICAN","PACIFIC_ISLANDER","GROUP_QUARTERS_POP"
"01069","Houston","AL",2020,376322,32.3979145055637,261332,40496,174121,398007,97824,8.00590569968335,29144,4940,107,14864
"01023","Choctaw","AL",2020,625075,44.2751457542181,808317,429934,38527,301952,80688,18.4468592237681,40968,8653,4731,45890
"01005","Barbour","AL",2020,288493,35.1876953523606,802946,135666,854,386143,98630,8.00170839764178,3963,526,64,41209
"01107","Pickens","AL",2020,813638,45.4405316989869,594270,5129,180022,248987,78172,18.1377193436492,48596,4729,2187,3901
"01033","Colbert","AL",2020,826211,43.543955553323,852988,101806,62122,161510,30205,5.63091261545196,30878,5595,4203,40850
"04012","La Paz","AZ",2020,474491,33.353435290046,592184,429517,294496,280535,99013,13.886939677177,11434,1308,703,12529
"04001","Apache","AZ",2020,542016,30.8459536870942,457452,111801,67032,208689,50468,5.98760058172047,19476,8521,938,15877
"05081","Little River","AR",2020,595546,37.0214868802577,471618,166497,33654,327941,74900,11.8582375301048,18253,743,3778,33056
"05121","Randolph","AR",2020,414596,44.0609238855541,204202,79871,24947,77386,64260,27.5287558685523,1482,6428,3447,15832
"06037","Los Angeles","CA",2020,554905,32.2671498823911,207072,41036,151615,143784,78185,14.7668963426258,41634,663,1255,27128
"06097","Sonoma","CA",2020,428950,30.7455526199192,265984,214740,86516,54630,52668,7.95652647037059,36259,7133,1325,35730
"06001","Alameda","CA",2020,352410,39.6236995887011,65820,357523,291131,166619,79517,22.2546836081892,48872,6925,601,45477
"06045","Mendocino","CA",2020,314477,47.0160585828125,53756,108349,98311,67076,55509,8.0941846780479,21916,6429,3622,43627
"06015","Del Norte","CA",2020,128514,35.6753221200779,412287,321128,122112,14857,59977,29.1943942906801,4489,4041,3917,37601
"08077","Mesa","CO",2020,30066,31.5227961353958,334111,358034,161761,38045,52626,6.62956352578476,15102,1658,1152,14244
"08083","Montezuma","CO",2020,121399,39.1373413521796,641215,491317,154358,161462,81205,25.1718838827219,20040,9867,1717,26147
"08067","La Plata","CO",2020,201384,44.4615451712161,199743,257499,232896,356449,75538,9.16680371272378,12791,2222,2200,8600
"06055","Napa","CA",2020,573637,32.8742160880938,307232,224218,251136,32541,86406,8.8423492514994,18792,5570,121,32648
"10005","Sussex","DE",2020,401281,46.1571926483884,826822,251573,181766,305950,36601,12.3163103312254,24236,2407,3908,34790
"12086","Miami-Dade","FL",2020,571793,46.6814640443772,768781,115093,288280,196908,64691,14.029096539598,29504,8959,4785,25132
"12071","Lee","FL",2020,325238,45.5260758241639,849995,196249,121101,254266,73503,13.8256774528418,21922,1869,2879,49615
"12037","Franklin","FL",2020,454923,30.0975673412904,840436,370593,238624,136921,98105,26.1413598561194,6163,7968,4913,7357
"12033","Escambia","FL",2020,251307,35.5009674932808,861164,335399,121341,260641,37254,8.65063649369404,34573,6787,2701,4045
"17031","Cook","IL",2020,842061,33.8347251387313,725727,446235,115719,154431,51160,26.1581476498395,41101,660,2352,3964
"17017","Cass","IL",2020,911940,34.1627410799265,48650,55294,212538,345463,70370,5.13957497430965,29123,7506,1662,34405
"17109","McDonough","IL",2020,359580,32.9734127176926,245924,58092,181254,40520,66482,25.8762222027872,21971,1504,4968,16829
"13245","Richmond","GA",2020,809875,40.2248387690634,755432,391797,150766,7984,34255,7.97351707122289,27330,3914,1408,26135
"17041","Douglas","IL",2020,323487,39.8483836138621,544267,27749,79937,21643,99489,10.1120820688084,15202,2352,2395,43944
"13103","Effingham","GA",2020,407384,40.043960660696,452704,304837,288538,198280,74905,24.6184107800946,41568,981,4287,38550
"16027","Canyon","ID",2020,736426,47.4854429671541,218795,122449,221409,346336,30587,18.9440578874201,1028,5144,2197,34170
"26103","Marquette","MI",2020,833884,49.7540744906291,45599,111515,29267,128363,33315,9.59267498808913,27374,343,1687,25500
"18061","Harrison","IN",2020,119418,49.676030697301,656772,80114,113955,264629,62301,29.2411998915486,42613,3890,4443,45789
"19177","Van Buren","IA",2020,926335,34.7711114306003,801026,417166,248276,275648,70112,26.4309484174009,23512,2864,1757,30922
"19045","Clinton","IA",2020,488955,31.698880228214,584481,237948,160254,130092,97402,21.3784626696724,33854,3352,3539,49499
"19163","Scott","IA",2020,103036,33.9482156559825,701387,56161,2049,147731,88517,23.868538091192,322,1656,2724,42294
"18161","Union","IN",2020,5911,38.3309401152655,691641,26667,44501,13884,36082,11.1929821793456,42682,9318,4966,41608
"26107","Mecosta","MI",2020,122812,36.9301159214228,155846,362589,288012,128467,60750,11.0671839804854,21950,9834,536,27009
"26063","Huron","MI",2020,704489,39.4762812322006,824957,48686,112977,311419,70916,6.99505233904347,42831,5463,4697,9928
"36067","Onondaga","NY",2020,191364,49.2239091685042,32324,49072,180286,178499,96344,6.01225710823201,30884,4254,1142,45003
"20175","Seward","KS",2020,7941,34.4468766497448,171684,458830,276839,269647,61813,8.23696082341485,44757,4464,2591,18751
"36071","Orange","NY",2020,735621,39.8229346051812,670343,291726,287430,226337,45463,24.586595101282,5741,2095,4329,8495
"08031","Denver","CO",2020,822380,35.4407978709787,563950,168901,151093,323276,62354,15.471271345159,5054,1277,2616,9600
"36017","Chenango","NY",2020,422553,38.5139447776601,794866,319590,79225,308548,93283,25.8073646586854,2305,1591,2913,23903
"21101","Henderson","KY",2020,321370,49.0946743823588,95702,228871,120194,198332,48630,16.4609152427875,49818,3474,1108,17253
"21195","Pike","KY",2020,526975,35.8846891019493,645747,457560,292574,76869,68565,19.1156315396074,21413,9735,2824,2222
"08019","Clear Creek","CO",2020,130067,39.3322003260255,200185,153091,259108,198511,47791,20.5959100346081,38333,3485,4568,43216
"08055","Huerfano","CO",2020,510480,34.3504610937089,282709,242655,20207,137720,92182,13.5815764439758,37921,1646,4509,542
"21093","Hardin","KY",2020,841084,33.2843272993341,417098,13123,263865,60428,73140,24.467714021448,17144,2253,4562,48778
"21127","Lawrence","KY",2020,751279,38.7365236179903,824964,213960,185890,251532,55332,5.5321616132278,11668,8047,1093,7454
"26099","Macomb","MI",2020,244129,34.9570304295048,778564,274585,43306,363116,41425,22.9794210940599,33235,8382,189,7960
"21135","Lewis","KY",2020,629355,41.8035710090771,404365,315892,59364,135958,76486,21.1899889004417,316,1513,4061,4377
"22051","Jefferson","LA",2020,861748,45.789732048288,791367,139605,11467,136196,92093,15.0141339527909,30813,4245,4658,44894
"22111","Union","LA",2020,409092,42.0433053420857,546345,150181,53973,270823,47447,16.841952893883,44486,342,299,7045
"22067","Morehouse","LA",2020,293222,49.568504136987,844693,282547,227279,323431,96634,29.9605294025969,9228,8446,1957,42703
"08091","Ouray","CO",2020,979945,46.3222306221724,479492,296457,286503,248230,30294,24.6106922521722,1263,820,952,16753
"23013","Knox","ME",2020,97866,49.3020998546854,857571,284585,77246,57763,97212,16.0311146010645,38882,3929,2671,42288
"23015","Lincoln","ME",2020,994861,35.9307531779632,353311,249218,44287,354931,55779,6.08486068202183,37352,8279,4987,599
"02170","Matanuska-Susitna","AK",2020,904379,42.8262610035017,113828,165154,149646,13785,89630,28.6203815671615,37090,4162,4336,37014
"02290","Yukon-Koyukuk","AK",2020,16834,31.5875223418698,737907,330813,216763,238674,50663,12.6212124549784,37307,7737,3097,42495
"24005","Baltimore","MD",2020,13872,35.8194639114663,39207,240637,254028,316905,84472,14.7203438635916,19135,2193,4590,36183
"24047","Worcester","MD",2020,762050,45.2881415933371,794365,107936,297725,26575,73825,25.2672473562416,32167,1852,1740,40949
"24031","Montgomery","MD",2020,526326,47.4268529703841,314444,448597,127288,291226,64669,28.5580572392792,6205,5899,3352,19893
"01051","Elmore","AL",2020,195420,34.1668135439977,431939,5759,132385,338093,70248,9.7513909288682,26298,35,581,11067
"01009","Blount","AL",2020,701670,49.6524659311399,422518,467188,164600,304724,94303,26.3651730853599,33878,3957,4462,10884
"25001","Barnstable","MA",2020,127030,39.7665384085849,596771,465345,74221,307628,77150,25.9857066103723,27385,2838,4645,4133
"25013","Hampden","MA",2020,908935,34.3066389020532,655436,5227,82019,398327,77892,12.731091621099,43569,2570,2661,26732
"26041","Delta","MI",2020,93604,48.5850371513516,194211,3890,46531,47092,63194,12.5704380520619,26653,8405,2332,31841
"01025","Clarke","AL",2020,101154,34.2805039463565,702718,152363,137168,125897,95227,20.5893951130565,43140,9385,1284,11285
"01055","Etowah","AL",2020,837069,44.0021686954424,847461,349284,106649,346552,60523,23.3369767270051,43970,8398,4078,8791
"26013","Baraga","MI",2020,296144,41.6368874209002,257262,147260,160887,393018,67852,15.0072755420115,17865,8325,4631,9493
"01115","St. Clair","AL",2020,229217,38.6135487817228,440112,109200,50519,291865,64451,6.58878946094774,9124,3081,1030,42043
"01065","Hale","AL",2020,325141,38.9419874968007,881516,98894,28688,367090,74176,22.3729260044638,10777,4154,1712,45881
"27137","St. Louis","MN",2020,887271,31.841204627417,228307,258660,67897,23794,70169,13.9283231529407,49937,5258,1146,1442
