"GEOID","NAME","STATE","YEAR","TOTAL_POP","WHITE_POP","BLACK_POP","ASIAN_POP","HISPANIC_POP"
"01069","Houston","AL",2022,658513,497413,395296,266381,399371
"01023","Choctaw","AL",2022,262381,438434,230757,170309,14734
"01005","Barbour","AL",2022,470541,887585,99931,102907,13862
"01107","Pickens","AL",2022,555843,894447,421557,290886,131622
"01033","Colbert","AL",2022,17559,172705,278939,214579,255380
"04012","La Paz","AZ",2022,210389,572456,28626,150950,65483
"04001","Apache","AZ",2022,766158,588066,202261,173125,236347
"05081","Little River","AR",2022,361100,615108,263729,272349,214499
"05121","Randolph","AR",2022,660976,377810,311469,122649,288348
"06037","Los Angeles","CA",2022,379486,695721,58846,195239,202734
"06097","Sonoma","CA",2022,21346,246523,373340,157601,201479
"06001","Alameda","CA",2022,673158,681236,180231,109667,239149
"06045","Mendocino","CA",2022,698018,616138,116727,164639,27643
"06015","Del Norte","CA",2022,710825,680678,375235,251918,152312
"08077","Mesa","CO",2022,475661,400348,312089,166441,152668
"08083","Montezuma","CO",2022,543657,623643,205379,61701,180992
"08067","La Plata","CO",2022,271698,55548,357893,76755,97487
"06055","Napa","CA",2022,369017,373441,336344,151453,160617
"10005","Sussex","DE",2022,686185,189936,207625,182372,238438
"12086","Miami-Dade","FL",2022,819741,191544,344686,174684,264797
"12071","Lee","FL",2022,786964,286126,343168,272856,278819
"12037","Franklin","FL",2022,487584,533788,180222,72143,148658
"12033","Escambia","FL",2022,277993,156265,342968,164416,203153
"17031","Cook","IL",2022,57102,72723,103239,80727,23612
"17017","Cass","IL",2022,360926,257431,204274,165950,381631
"17109","McDonough","IL",2022,860550,873238,200409,247264,353736
"13245","Richmond","GA",2022,159186,208203,25775,74500,55492
"17041","Douglas","IL",2022,852991,892642,360628,189043,146994
"13103","Effingham","GA",2022,366454,173738,138801,102513,179071
"16027","Canyon","ID",2022,848061,276408,18705,88773,348310
"26103","Marquette","MI",2022,739482,658459,436383,205059,115712
"18061","Harrison","IN",2022,470737,136459,18513,169879,130031
"19177","Van Buren","IA",2022,437613,417803,472949,126060,293441
"19045","Clinton","IA",2022,105195,563722,119202,123298,385270
"19163","Scott","IA",2022,58273,526029,433545,189671,367367
"18161","Union","IN",2022,160309,525659,84392,131232,68548
"26107","Mecosta","MI",2022,914787,701064,395033,211064,35332
"26063","Huron","MI",2022,381718,641238,104172,158043,133033
"36067","Onondaga","NY",2022,484543,492921,44607,225615,317622
"20175","Seward","KS",2022,351246,287326,331247,184771,295369
"36071","Orange","NY",2022,133968,224886,5917,214415,141054
"08031","Denver","CO",2022,346796,302761,301404,135202,85555
"36017","Chenango","NY",2022,688271,781304,216319,270150,146281
"21101","Henderson","KY",2022,993292,641482,304506,217143,229442
"21195","Pike","KY",2022,81401,173787,125393,295153,74446
"08019","Clear Creek","CO",2022,209885,776613,357096,232042,228597
"08055","Huerfano","CO",2022,835148,770888,207545,187257,78127
"21093","Hardin","KY",2022,553205,760403,116428,135776,353116
"21127","Lawrence","KY",2022,656052,429678,290779,23201,260335
"26099","Macomb","MI",2022,938207,742497,151058,239336,260896
"21135","Lewis","KY",2022,460846,379196,100845,204747,252575
"22051","Jefferson","LA",2022,809201,618466,443894,216645,121844
"22111","Union","LA",2022,173398,257241,7849,27707,255229
"22067","Morehouse","LA",2022,21114,780853,325897,47362,47157
"08091","Ouray","CO",2022,98192,202723,391436,214096,347035
"23013","Knox","ME",2022,213785,139760,265559,119820,20265
"23015","Lincoln","ME",2022,862099,295210,309924,125247,142836
"02170","Matanuska-Susitna","AK",2022,272337,414069,380723,123957,52257
"02290","Yukon-Koyukuk","AK",2022,149061,686092,316092,42926,94692
"24005","Baltimore","MD",2022,644174,25603,225476,160413,332157
