"State","County","FIPS","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.for.Sensitive.Groups.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Median.AQI"
"Alabama","Houston","01069",326,125,58,17,11,5,1,190,43
"Alabama","Choctaw","01023",276,230,63,17,6,2,0,371,74
"Alabama","Barbour","01005",362,121,69,20,9,2,1,376,80
"Alabama","Pickens","01107",274,249,43,1,7,1,0,471,76
"Alabama","Colbert","01033",330,171,63,20,15,0,1,261,69
"Colorado","Los Angeles","06037",275,280,90,6,10,3,1,258,85
"Colorado","Sonoma","06097",259,286,32,27,9,0,0,370,60
"Colorado","Alameda","06001",336,106,22,20,11,4,1,235,96
"Colorado","Mendocino","06045",303,213,22,4,6,5,2,197,76
"Colorado","Del Norte","06015",350,149,55,22,5,3,2,445,61
"Colorado","Napa","06055",295,295,88,25,11,1,0,488,59
"Kentucky","Cook","17031",281,167,63,18,7,0,0,125,46
"Kentucky","Cass","17017",282,173,20,14,14,4,0,387,53
"Kentucky","McDonough","17109",347,204,58,23,14,3,1,143,32
"Kentucky","Douglas","17041",339,146,65,19,10,1,1,485,43
"Oklahoma","Onondaga","36067",281,131,93,29,7,4,0,184,42
"Oklahoma","Orange","36071",352,142,42,9,4,4,2,207,57
"Oklahoma","Chenango","36017",317,253,84,19,12,5,0,266,73
"Alabama","Elmore","01051",260,201,46,4,11,3,1,142,37
"Alabama","Blount","01009",282,137,75,25,15,4,0,108,49
"Alabama","Clarke","01025",285,162,99,15,15,4,2,344,69
"Alabama","Etowah","01055",308,110,51,19,12,1,0,355,58
"Alabama","St. Clair","01115",257,221,27,28,12,5,0,319,91
"Alabama","Hale","01065",259,299,55,25,1,5,2,427,45
"West Virginia","Kleberg","48273",361,108,49,30,11,4,2,386,67
"West Virginia","Refugio","48391",344,219,82,21,11,0,1,314,82
"West Virginia","Harris","48201",311,225,36,10,11,5,2,363,92
"West Virginia","Terrell","48443",294,187,73,3,7,3,2,307,54
"West Virginia","Hudspeth","48229",309,147,90,16,12,1,1,342,98
"West Virginia","Hartley","48205",302,283,46,13,14,4,0,213,44
"West Virginia","Newton","48351",250,120,85,0,6,3,2,309,91
"Colorado","Plumas","06063",285,111,78,27,9,0,1,302,52
"Colorado","Sutter","06101",303,102,51,17,14,5,1,348,73
"Colorado","Glenn","06021",314,170,36,18,6,1,1,260,57
"Kentucky","Hamilton","17065",314,142,57,24,2,1,0,107,33
"Oklahoma","Madison","36053",334,261,38,19,12,2,0,346,85
"Oklahoma","Otsego","36077",319,127,33,3,3,5,1,219,44
"Oklahoma","Livingston","36051",365,183,60,18,1,5,1,196,73
"West Virginia","Polk","48373",331,253,21,4,10,1,2,156,72
"West Virginia","Ellis","48139",348,130,65,14,11,1,2,120,59
"West Virginia","Williamson","48491",307,295,32,0,2,0,0,463,47
"West Virginia","Henderson","48213",284,236,72,25,6,4,1,131,31
"West Virginia","Angelina","48005",308,229,50,30,5,5,1,384,78
"West Virginia","Taylor","48441",292,256,96,14,6,1,1,133,45
"West Virginia","Hardin","48199",289,233,28,6,5,3,1,178,82
"West Virginia","Caldwell","48055",260,102,69,20,9,2,0,477,100
"West Virginia","Camp","48063",262,158,87,27,8,2,0,215,44
"West Virginia","Robertson","48395",271,141,42,26,4,1,0,334,35
"West Virginia","Hopkins","48223",325,147,49,25,1,0,2,323,73
"West Virginia","Houston","48225",360,153,27,8,6,4,2,318,48
"West Virginia","Moore","48341",258,121,97,13,13,3,2,396,64
"West Virginia","Upton","48461",352,300,82,20,5,3,2,242,97
"West Virginia","Red River","48387",294,110,25,26,12,0,1,149,61
"West Virginia","Reagan","48383",318,104,72,9,10,4,0,374,32
"West Virginia","Madison","48313",356,251,57,18,8,5,0,238,40
"West Virginia","Jeff Davis","48243",259,130,87,18,8,0,1,348,42
"Colorado","Amador","06005",301,124,100,16,9,1,0,415,44
"Colorado","Shasta","06089",290,182,80,3,4,1,1,466,95
"Kentucky","DuPage","17043",324,177,29,18,14,2,2,452,68
"Kentucky","Rock Island","17161",318,184,63,15,15,5,0,216,84
"Alabama","Madison","01089",333,191,89,0,6,1,1,212,36
"Alabama","Jackson","01071",292,137,62,17,6,2,0,124,81
