"year","fips","county","deaths","population","crude_rate"
2020,1001,"1001 County",8,4100018,0.2
2020,1003,"1003 County",45,3682208,1.2
2020,6037,"6037 County",670,4297227,15.6
2020,6059,"6059 County",165,881579,18.7
2020,6065,"6065 County",249,4019423,6.2
2020,6071,"6071 County",345,4946132,7
2020,6073,"6073 County",213,1728486,12.3
2020,6085,"6085 County",61,4834525,1.3
2020,8031,"8031 County",76,1416579,5.4
2020,12086,"12086 County",157,2523624,6.2
2020,12099,"12099 County",172,2559662,6.7
2020,13121,"13121 County",118,1854146,6.4
2020,17031,"17031 County",186,882309,21.1
2020,24031,"24031 County",86,1611605,5.3
2020,26163,"26163 County",79,2741583,2.9
2020,29189,"29189 County",56,977172,5.7
2020,32003,"32003 County",214,3276003,6.5
2020,36005,"36005 County",39,1660899,2.3
2020,36047,"36047 County",51,2190361,2.3
2020,36059,"36059 County",66,2353297,2.8
2020,36061,"36061 County",17,2144986,0.8
2020,36081,"36081 County",44,4086428,1.1
2020,36085,"36085 County",37,4799059,0.8
2020,36103,"36103 County",20,1826339,1.1
2020,36119,"36119 County",33,4037428,0.8
2020,42101,"42101 County",63,1318615,4.8
2020,48029,"48029 County",157,1267302,12.4
2020,48113,"48113 County",224,3115036,7.2
2020,48201,"48201 County",433,65825,657.8
2020,48439,"48439 County",142,4017106,3.5
2020,53033,"53033 County",109,2458853,4.4
NA,NA,"NA County",NA,582818,NA
