STATE,COUNTY,traffic_fatality_count,year,fips
01,001,8,2020,01001
01,003,45,2020,01003
06,037,670,2020,06037
06,059,165,2020,06059
06,065,249,2020,06065
06,071,345,2020,06071
06,073,213,2020,06073
06,085,61,2020,06085
08,031,76,2020,08031
12,086,157,2020,12086
12,099,172,2020,12099
13,121,118,2020,13121
17,031,186,2020,17031
24,031,86,2020,24031
26,163,79,2020,26163
29,189,56,2020,29189
32,003,214,2020,32003
36,005,39,2020,36005
36,047,51,2020,36047
36,059,66,2020,36059
36,061,17,2020,36061
36,081,44,2020,36081
36,085,37,2020,36085
36,103,20,2020,36103
36,119,33,2020,36119
42,101,63,2020,42101
48,029,157,2020,48029
48,113,224,2020,48113
48,201,433,2020,48201
48,439,142,2020,48439
53,033,109,2020,53033
EOF < /dev/null
