variable_name,description,category,variable_type,preferred_source,years_available,interpolate_recommended,extend_backwards,extend_method,limitations
total_population,Total population,Demographics,Count,IPUMS NHGIS,2009-2021,TRUE,FALSE,NA,
median_age,Median age (years),Demographics,Currency ($) or Count,IPUMS NHGIS,2009-2021,TRUE,FALSE,NA,
male_population,Male population,Demographics,Count,IPUMS NHGIS,2009-2021,TRUE,FALSE,NA,
female_population,Female population,Demographics,Count,IPUMS NHGIS,2009-2021,TRUE,FALSE,NA,
population_under_18,Population under 18 years of age,Demographics,Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
population_65_over,Population 65 years and over,Demographics,Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
white_nonhispanic_pct,"White alone, not Hispanic or Latino, percent",Race/Ethnicity,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
black_pct,"Black or African American alone, percent",Race/Ethnicity,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
hispanic_latino_pct,"Hispanic or Latino, percent",Race/Ethnicity,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
asian_pct,"Asian alone, percent",Race/Ethnicity,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
native_american_pct,"American Indian and Alaska Native alone, percent",Race/Ethnicity,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
median_household_income,Median household income (dollars),Socioeconomic,Currency ($) or Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
poverty_rate,Percentage of population below poverty level,Socioeconomic,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
gini_index,Income inequality (Gini Index),Socioeconomic,Varies,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
snap_benefits_pct,Percentage of households receiving SNAP benefits,Socioeconomic,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
less_than_highschool_pct,Percentage of population 25+ with less than high school education,Education,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
highschool_only_pct,Percentage of population 25+ with high school degree only,Education,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
some_college_pct,Percentage of population 25+ with some college or associate's degree,Education,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
bachelors_or_higher_pct,Percentage of population 25+ with bachelor's degree or higher,Education,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
median_home_value,Median value of owner-occupied housing units,Housing,Currency ($) or Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
median_gross_rent,Median gross rent,Housing,Currency ($) or Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
homeownership_rate,Homeownership rate,Housing,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
vacant_housing_rate,Vacant housing rate,Housing,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
unemployment_rate,Unemployment rate,Employment,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
labor_force_participation,Labor force participation rate,Employment,Varies,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
median_earnings,Median earnings for workers,Employment,Currency ($) or Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
mean_commute_time,Mean travel time to work (minutes),Transportation,Currency ($) or Count,ACS 5-Year,2009-2021,TRUE,FALSE,NA,
commute_public_transit_pct,Percentage commuting by public transportation,Transportation,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
no_vehicle_households_pct,Percentage of households with no vehicle available,Transportation,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
commute_carpool_pct,Percentage commuting by carpool,Transportation,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
commute_walking_pct,Percentage commuting by walking,Transportation,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
commute_long_pct,Percentage with commute of 60 minutes or more,Transportation,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
uninsured_pct,Percentage without health insurance,Health Insurance,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
private_health_insurance_pct,Percentage with private health insurance,Health Insurance,Percentage (0-100),ACS 5-Year,2009-2021,TRUE,FALSE,NA,
