variable_name,description,domain,type,source,min_year,max_year,units
traffic_fatality_count,Total number of traffic-related deaths,Traffic Safety,numeric_count,NHTSA FARS/CDC WONDER,1975,2023,count
traffic_fatality_rate_per_100k,"Traffic fatality rate per 100,000 population",Traffic Safety,numeric_rate,NHTSA FARS/CDC WONDER,1975,2023,count/100k
traffic_injury_count,Total number of traffic-related injuries,Traffic Safety,numeric_count,NHTSA FARS,1975,2023,count
traffic_injury_rate_per_100k,"Traffic injury rate per 100,000 population",Traffic Safety,numeric_rate,NHTSA FARS,1975,2023,count/100k
ped_bike_fatality_count,Pedestrian and cyclist fatalities,Traffic Safety,numeric_count,NHTSA FARS,1975,2023,count
ped_bike_fatality_rate_per_100k,"Pedestrian and cyclist fatality rate per 100,000 population",Traffic Safety,numeric_rate,NHTSA FARS,1975,2023,count/100k
dui_fatality_count,Alcohol-related traffic fatalities,Traffic Safety,numeric_count,NHTSA FARS,1975,2023,count
dui_fatality_rate_per_100k,"Alcohol-related fatality rate per 100,000 population",Traffic Safety,numeric_rate,NHTSA FARS,1975,2023,count/100k
speeding_fatality_count,Speeding-related traffic fatalities,Traffic Safety,numeric_count,NHTSA FARS,1975,2023,count
speeding_fatality_rate_per_100k,"Speeding-related fatality rate per 100,000 population",Traffic Safety,numeric_rate,NHTSA FARS,1975,2023,count/100k
employment_access_index,Access to employment centers,Built Environment,numeric_index,EPA Smart Location Database,2010,2021,index
housing_density,Housing units per acre of developed land,Built Environment,numeric_density,EPA Smart Location Database,2010,2021,units/acre
land_use_diversity,Mix of land uses (entropy index),Built Environment,numeric_index,EPA Smart Location Database,2010,2021,index
park_access_pct,Percentage of residents living within 10-minute walk of a park,Built Environment,numeric_percent,Trust for Public Land ParkScore,2012,2022,percent
park_acres_per_1000,"Park acres per 1,000 residents",Built Environment,numeric_rate,Trust for Public Land ParkScore,2012,2022,acres/1000
park_spending_per_capita,Park system spending per resident,Built Environment,numeric_money,Trust for Public Land ParkScore,2012,2022,dollars
playgrounds_per_10000,"Playgrounds per 10,000 residents",Built Environment,numeric_rate,Trust for Public Land ParkScore,2012,2022,count/10000
street_intersection_density,Number of intersections per square mile,Built Environment,numeric_density,EPA Smart Location Database,2010,2021,count/sq mile
transit_service_density,Transit routes and stops per square mile,Built Environment,numeric_density,EPA Smart Location Database,2010,2021,count/sq mile
walkability_index,County-level walkability score,Built Environment,numeric_index,EPA Smart Location Database,2010,2021,index
homicide_rate,"Homicides per 100,000 population",Crime & Safety,numeric_rate,FBI Uniform Crime Reports,2000,2021,count/100k
jail_incarceration_rate,"County jail inmates per 100,000 population",Crime & Safety,numeric_rate,Bureau of Justice Statistics,2000,2020,count/100k
pretrial_detention_rate,"Pretrial detainees per 100,000 population",Crime & Safety,numeric_rate,Bureau of Justice Statistics,2000,2020,count/100k
