variable_name,domain,description,type,source,min_year,max_year,units,related_to_standard,standard_domain,extended_only,notes,api_source,api_variable,data_quality_flag_required
employment_access_index,Built Environment,Access to employment centers,numeric_index,EPA Smart Location Database,2010,2021,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
housing_density,Built Environment,Housing units per acre of developed land,numeric_density,EPA Smart Location Database,2010,2021,units/acre,NA,Environmental,TRUE,NA,NA,NA,TRUE
land_use_diversity,Built Environment,Mix of land uses (entropy index),numeric_index,EPA Smart Location Database,2010,2021,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
park_access_pct,Built Environment,Percentage of residents living within 10-minute walk of a park,numeric_percent,Trust for Public Land ParkScore,2012,2022,percent,NA,Environmental,TRUE,NA,NA,NA,TRUE
park_acres_per_1000,Built Environment,"Park acres per 1,000 residents",numeric_rate,Trust for Public Land ParkScore,2012,2022,acres/1000,NA,Environmental,TRUE,NA,NA,NA,TRUE
park_spending_per_capita,Built Environment,Park system spending per resident,numeric_money,Trust for Public Land ParkScore,2012,2022,dollars,NA,Environmental,TRUE,NA,NA,NA,TRUE
playgrounds_per_10000,Built Environment,"Playgrounds per 10,000 residents",numeric_rate,Trust for Public Land ParkScore,2012,2022,count/10000,NA,Environmental,TRUE,NA,NA,NA,TRUE
street_intersection_density,Built Environment,Number of intersections per square mile,numeric_density,EPA Smart Location Database,2010,2021,count/sq mile,NA,Environmental,TRUE,NA,NA,NA,TRUE
transit_service_density,Built Environment,Transit routes and stops per square mile,numeric_density,EPA Smart Location Database,2010,2021,count/sq mile,NA,Environmental,TRUE,NA,NA,NA,TRUE
walkability_index,Built Environment,County-level walkability score,numeric_index,EPA Smart Location Database,2010,2021,index,NA,Environmental,TRUE,NA,NA,NA,TRUE
homicide_rate,Crime & Safety,"Homicides per 100,000 population",numeric_rate,FBI Uniform Crime Reports,2000,2021,count/100k,NA,Social,TRUE,NA,NA,NA,TRUE
jail_incarceration_rate,Crime & Safety,"County jail inmates per 100,000 population",numeric_rate,Bureau of Justice Statistics,2000,2020,count/100k,NA,Social,TRUE,NA,NA,NA,TRUE
pretrial_detention_rate,Crime & Safety,"Pretrial detainees per 100,000 population",numeric_rate,Bureau of Justice Statistics,2000,2020,count/100k,NA,Social,TRUE,NA,NA,NA,TRUE
property_crime_rate,Crime & Safety,"Property crimes per 100,000 population",numeric_rate,FBI Uniform Crime Reports,2000,2021,count/100k,NA,Social,TRUE,NA,NA,NA,TRUE
violent_crime_rate,Crime & Safety,"Violent crimes per 100,000 population",numeric_rate,FBI Uniform Crime Reports,2000,2021,count/100k,NA,Social,TRUE,NA,NA,NA,TRUE
female_population,Demographic,Female population,numeric_count,US Census Bureau,2000,2023,people,NA,Demographic,FALSE,NA,NA,NA,FALSE
male_population,Demographic,Male population,numeric_count,US Census Bureau,2000,2023,people,NA,Demographic,FALSE,NA,NA,NA,FALSE
median_age,Demographic,Median age of population,numeric_years,US Census Bureau,2000,2023,years,NA,Demographic,FALSE,NA,NA,NA,FALSE
population_over_65,Demographic,Population 65 years and older,numeric_count,US Census Bureau,2000,2023,people,NA,Demographic,FALSE,NA,NA,NA,FALSE
population_under_18,Demographic,Population under 18 years old,numeric_count,US Census Bureau,2000,2023,people,NA,Demographic,FALSE,NA,NA,NA,FALSE
total_population,Demographic,Total population,numeric_count,US Census Bureau,2000,2023,people,NA,Demographic,FALSE,NA,NA,NA,FALSE
child_poverty_rate,Economic,Percentage of children below poverty level,numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
gini_index,Economic,Gini index of income inequality,numeric_index,American Community Survey,2010,2023,index,NA,Economic,FALSE,NA,NA,NA,FALSE
income_100k_150k,Economic,"Households with income $100,000 to $149,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_10k_15k,Economic,"Households with income $10,000 to $14,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_150k_200k,Economic,"Households with income $150,000 to $199,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_15k_25k,Economic,"Households with income $15,000 to $24,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_200k_plus,Economic,"Households with income $200,000 or more",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_25k_35k,Economic,"Households with income $25,000 to $34,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_35k_50k,Economic,"Households with income $35,000 to $49,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_50k_75k,Economic,"Households with income $50,000 to $74,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_75k_100k,Economic,"Households with income $75,000 to $99,999",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
income_less_10k,Economic,"Households with income less than $10,000",numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
labor_force_participation,Economic,Labor force participation rate,numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
mean_household_income,Economic,Mean household income,numeric_money,American Community Survey,2010,2023,dollars,NA,Economic,FALSE,NA,NA,NA,FALSE
median_earnings,Economic,Median earnings for workers,numeric_money,American Community Survey,2010,2023,dollars,NA,Economic,FALSE,NA,NA,NA,FALSE
median_female_earnings,Economic,Median earnings for female workers,numeric_money,American Community Survey,2010,2023,dollars,NA,Economic,FALSE,NA,NA,NA,FALSE
median_household_income,Economic,Median household income,numeric_money,American Community Survey,2010,2023,dollars,NA,Economic,FALSE,NA,NA,NA,FALSE
median_male_earnings,Economic,Median earnings for male workers,numeric_money,American Community Survey,2010,2023,dollars,NA,Economic,FALSE,NA,NA,NA,FALSE
per_capita_income,Economic,Per capita income,numeric_money,American Community Survey,2010,2023,dollars,NA,Economic,FALSE,NA,NA,NA,FALSE
poverty_rate,Economic,Percentage of population below poverty level,numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
senior_poverty_rate,Economic,Percentage of seniors (65+) below poverty level,numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
snap_benefits,Economic,Households receiving SNAP/Food Stamps,numeric_percent,American Community Survey,2010,2023,percent,NA,Economic,FALSE,NA,NA,NA,FALSE
