variable_name,domain,description,type,source,min_year,max_year,units,related_to_standard,standard_domain,extended_only,notes,api_source,api_variable,data_quality_flag_required
grocery_stores_per_1000,Food Environment & Access,"Number of supermarkets and grocery stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
supercenters_per_1000,Food Environment & Access,"Number of supercenter and club stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
convenience_stores_per_1000,Food Environment & Access,"Number of convenience stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
snap_authorized_stores_per_1000,Food Environment & Access,"SNAP-authorized retailers per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
wic_authorized_stores_per_1000,Food Environment & Access,"WIC-authorized stores per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
farmers_markets_per_1000,Food Environment & Access,"Farmers markets per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
fast_food_restaurants_per_1000,Food Environment & Access,"Fast food restaurants per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
full_service_restaurants_per_1000,Food Environment & Access,"Full-service restaurants per 1,000 population",numeric_rate,USDA Food Environment Atlas,2010,2022,count/1000,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
low_income_low_access_pct,Food Environment & Access,Percentage of population that is low income and has low access to a grocery store,numeric_percent,USDA Food Environment Atlas,2010,2022,percent,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
children_low_access_pct,Food Environment & Access,Percentage of children with low access to a grocery store,numeric_percent,USDA Food Environment Atlas,2010,2022,percent,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
seniors_low_access_pct,Food Environment & Access,Percentage of seniors with low access to a grocery store,numeric_percent,USDA Food Environment Atlas,2010,2022,percent,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
snap_benefits_redemption_per_capita,Food Environment & Access,SNAP benefits redemption per capita,numeric_money,USDA Food Environment Atlas,2010,2022,dollars,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
food_insecurity_rate,Food Environment & Access,Percentage of overall population experiencing food insecurity,numeric_percent,Feeding America Map the Meal Gap,2009,2022,percent,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
child_food_insecurity_rate,Food Environment & Access,Percentage of children experiencing food insecurity,numeric_percent,Feeding America Map the Meal Gap,2009,2022,percent,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
food_insecurity_cost_per_person,Food Environment & Access,Average cost per person to meet food needs,numeric_money,Feeding America Map the Meal Gap,2009,2022,dollars,food_insecurity_pct,,TRUE,NA,NA,NA,TRUE
walkability_index,Built Environment,County-level walkability score,numeric_index,EPA Smart Location Database,2010,2021,index,NA,,TRUE,NA,NA,NA,TRUE
land_use_diversity,Built Environment,Mix of land uses (entropy index),numeric_index,EPA Smart Location Database,2010,2021,index,NA,,TRUE,NA,NA,NA,TRUE
street_intersection_density,Built Environment,Number of intersections per square mile,numeric_density,EPA Smart Location Database,2010,2021,count/sq mile,NA,,TRUE,NA,NA,NA,TRUE
employment_access_index,Built Environment,Access to employment centers,numeric_index,EPA Smart Location Database,2010,2021,index,NA,,TRUE,NA,NA,NA,TRUE
transit_service_density,Built Environment,Transit routes and stops per square mile,numeric_density,EPA Smart Location Database,2010,2021,count/sq mile,NA,,TRUE,NA,NA,NA,TRUE
housing_density,Built Environment,Housing units per acre of developed land,numeric_density,EPA Smart Location Database,2010,2021,units/acre,NA,,TRUE,NA,NA,NA,TRUE
park_access_pct,Built Environment,Percentage of residents living within 10-minute walk of a park,numeric_percent,Trust for Public Land ParkScore,2012,2022,percent,NA,,TRUE,NA,NA,NA,TRUE
park_acres_per_1000,Built Environment,"Park acres per 1,000 residents",numeric_rate,Trust for Public Land ParkScore,2012,2022,acres/1000,NA,,TRUE,NA,NA,NA,TRUE
park_spending_per_capita,Built Environment,Park system spending per resident,numeric_money,Trust for Public Land ParkScore,2012,2022,dollars,NA,,TRUE,NA,NA,NA,TRUE
playgrounds_per_10000,Built Environment,"Playgrounds per 10,000 residents",numeric_rate,Trust for Public Land ParkScore,2012,2022,count/10000,NA,,TRUE,NA,NA,NA,TRUE
air_quality_days_unhealthy,Environmental Health,Number of days with unhealthy air quality,numeric_count,EPA Air Quality System,2000,2023,days,air_pollution_pm25,,TRUE,NA,NA,NA,TRUE
pm25_annual_mean,Environmental Health,Annual mean PM2.5 concentration,numeric_index,EPA Air Quality System,2000,2023,μg/m³,air_pollution_pm25,,TRUE,NA,NA,NA,TRUE
ozone_days_exceeding,Environmental Health,Days exceeding ozone standards,numeric_count,EPA Air Quality System,2000,2023,days,NA,,TRUE,NA,NA,NA,TRUE
air_toxics_cancer_risk,Environmental Health,Air toxics cancer risk,numeric_rate,EPA Air Quality System,2000,2023,per million,NA,,TRUE,NA,NA,NA,TRUE
diesel_pm_concentration,Environmental Health,Diesel particulate matter concentration,numeric_index,EPA Air Quality System,2000,2023,μg/m³,NA,,TRUE,NA,NA,NA,TRUE
respiratory_hazard_index,Environmental Health,Respiratory hazard index from air pollutants,numeric_index,EPA Air Quality System,2000,2023,index,NA,,TRUE,NA,NA,NA,TRUE
extreme_heat_days,Environmental Health,Annual number of extreme heat days,numeric_count,CDC Environmental Public Health Tracking,2002,2022,days,NA,,TRUE,NA,NA,NA,TRUE
extreme_precipitation_events,Environmental Health,Annual number of extreme precipitation events,numeric_count,CDC Environmental Public Health Tracking,2002,2022,count,NA,,TRUE,NA,NA,NA,TRUE
drought_severity_index,Environmental Health,Average drought severity index,numeric_index,CDC Environmental Public Health Tracking,2002,2022,index,NA,,TRUE,NA,NA,NA,TRUE
public_water_violations,Environmental Health,Number of public water system violations,numeric_count,CDC Environmental Public Health Tracking,2002,2022,count,NA,,TRUE,NA,NA,NA,TRUE
lead_exposure_risk_index,Environmental Health,Index of lead exposure risk,numeric_index,CDC Environmental Public Health Tracking,2002,2022,index,NA,,TRUE,NA,NA,NA,TRUE
proximity_to_hazardous_waste,Environmental Health,Count of hazardous waste facilities within 5km,numeric_count,EPA EJSCREEN,2016,2023,count,NA,,TRUE,NA,NA,NA,TRUE
proximity_to_npl_sites,Environmental Health,Proximity to National Priorities List (Superfund) sites,numeric_index,EPA EJSCREEN,2016,2023,index,NA,,TRUE,NA,NA,NA,TRUE
wastewater_discharge,Environmental Health,Toxicity-weighted concentrations in stream reach,numeric_index,EPA EJSCREEN,2016,2023,concentration,NA,,TRUE,NA,NA,NA,TRUE
