variable_name,acs_var,dec_2020_var,dec_2010_var,dec_2000_var,pep_var,category,description,nhgis_var,cdc_places_var,available_in_acs,available_in_decennial,available_in_pep,available_in_nhgis,available_in_places,interpolate_recommended,preferred_source,years_available,extend_backwards,extend_method
total_population,B01003_001E,P1_001N,P003001,P001001,POP,Demographics,Total population,TOTPOP,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,IPUMS NHGIS,2009-2021,FALSE,NA
median_age,B01002_001E,P13_001N,P013001,P013001,NA,Demographics,Median age (years),MEDAGE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,2009-2021,FALSE,NA
male_population,B01001_002E,P1_002N,P012002,P012002,NA,Demographics,Male population,MALE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,2009-2021,FALSE,NA
female_population,B01001_026E,P1_026N,P012026,P012026,NA,Demographics,Female population,FEMALE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,IPUMS NHGIS,2009-2021,FALSE,NA
population_under_18,B01001_003E,NA,NA,NA,NA,Demographics,Population under 18 years of age,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
population_65_over,B01001_020E,NA,NA,NA,NA,Demographics,Population 65 years and over,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
white_nonhispanic_pct,DP05_0077PE,NA,NA,NA,NA,Race/Ethnicity,"White alone, not Hispanic or Latino, percent",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
black_pct,DP05_0065PE,NA,NA,NA,NA,Race/Ethnicity,"Black or African American alone, percent",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
hispanic_latino_pct,DP05_0071PE,NA,NA,NA,NA,Race/Ethnicity,"Hispanic or Latino, percent",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
asian_pct,DP05_0067PE,NA,NA,NA,NA,Race/Ethnicity,"Asian alone, percent",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
native_american_pct,DP05_0066PE,NA,NA,NA,NA,Race/Ethnicity,"American Indian and Alaska Native alone, percent",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
median_household_income,B19013_001E,NA,NA,NA,NA,Socioeconomic,Median household income (dollars),NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
poverty_rate,S1701_C03_001E,NA,NA,NA,NA,Socioeconomic,Percentage of population below poverty level,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
gini_index,B19083_001E,NA,NA,NA,NA,Socioeconomic,Income inequality (Gini Index),NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
snap_benefits_pct,S2201_C04_001E,NA,NA,NA,NA,Socioeconomic,Percentage of households receiving SNAP benefits,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
less_than_highschool_pct,B15003_002E,NA,NA,NA,NA,Education,Percentage of population 25+ with less than high school education,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
highschool_only_pct,B15003_017E,NA,NA,NA,NA,Education,Percentage of population 25+ with high school degree only,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
some_college_pct,B15003_018E,NA,NA,NA,NA,Education,Percentage of population 25+ with some college or associate's degree,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
bachelors_or_higher_pct,B15003_022E,NA,NA,NA,NA,Education,Percentage of population 25+ with bachelor's degree or higher,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
median_home_value,B25077_001E,NA,NA,NA,NA,Housing,Median value of owner-occupied housing units,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
median_gross_rent,B25064_001E,NA,NA,NA,NA,Housing,Median gross rent,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
homeownership_rate,DP04_0046PE,NA,NA,NA,NA,Housing,Homeownership rate,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
vacant_housing_rate,DP04_0003PE,NA,NA,NA,NA,Housing,Vacant housing rate,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
unemployment_rate,DP03_0009PE,NA,NA,NA,NA,Employment,Unemployment rate,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
labor_force_participation,DP03_0002PE,NA,NA,NA,NA,Employment,Labor force participation rate,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
median_earnings,B20017_001E,NA,NA,NA,NA,Employment,Median earnings for workers,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
mean_commute_time,DP03_0025E,NA,NA,NA,NA,Transportation,Mean travel time to work (minutes),NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
commute_public_transit_pct,DP03_0021PE,NA,NA,NA,NA,Transportation,Percentage commuting by public transportation,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
no_vehicle_households_pct,DP04_0058PE,NA,NA,NA,NA,Transportation,Percentage of households with no vehicle available,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
commute_carpool_pct,DP03_0019PE,NA,NA,NA,NA,Transportation,Percentage commuting by carpool,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
commute_walking_pct,DP03_0023PE,NA,NA,NA,NA,Transportation,Percentage commuting by walking,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
commute_long_pct,DP03_0034PE,NA,NA,NA,NA,Transportation,Percentage with commute of 60 minutes or more,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
uninsured_pct,S2701_C05_001E,NA,NA,NA,NA,Health Insurance,Percentage without health insurance,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,ACS 5-Year,2009-2021,FALSE,NA
